Date,Day name,Day high temprature,Day low temprature,Weather_conditions,Rain_percentage,Wind direction,Wind speed
07/08/2024,Wednesday,30,26,PM Light Rain,80,SE,10 km/h
08/08/2024,Wednesday,31,27,Showers,60,ESE,11 km/h
09/08/2024,Wednesday,33,27,Rain / Thunder,65,E,10 km/h
10/08/2024,Wednesday,32,27,T-Storms,72,ESE,8 km/h
11/08/2024,Wednesday,31,27,T-Storms,80,ESE,9 km/h
12/08/2024,Wednesday,31,26,T-Storms,81,E,8 km/h
13/08/2024,Wednesday,32,27,T-Storms,71,E,8 km/h
14/08/2024,Wednesday,33,27,T-Storms,62,ENE,9 km/h
15/08/2024,Wednesday,33,27,T-Storms,60,ENE,8 km/h
16/08/2024,Wednesday,32,27,T-Storms,60,ENE,9 km/h
17/08/2024,Wednesday,32,27,T-Storms,60,WNW,10 km/h
18/08/2024,Wednesday,32,27,T-Storms,60,W,12 km/h
19/08/2024,Wednesday,33,27,T-Storms,60,NNW,12 km/h
20/08/2024,Wednesday,32,27,Rain,60,SE,11 km/h
21/08/2024,Wednesday,33,27,Rain / Thunder,60,E,10 km/h
